CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300001,(주)데일리랜드,자동차야영장,37.7584857,127.845655,강원 춘천시 동산면 윗성골길 36,0,14,0,0,3,1,1,8,2,1,4,"전기,무선인터넷,장작판매,온수,물놀이장,마트, 편의점",,2020-11-20,2015-09-08,0,I,20201125000000,,,N,
CAP300005,(주)양촌여울체험캠프,"일반야영장,자동차야영장",35.1365006,128.3753007,경상남도 창원시 마산합포구 진전면 의산삼일로 60,38,0,0,0,1,1,1,0,0,0,0,"전기,온수,물놀이장,산책로,마트, 편의점",,2020-11-20,2016-12-19,4,I,20201125000000,,,N,
CAP300006,(주)어반슬로우시티,"자동차야영장,글램핑",37.732632,127.5116915,강원도 춘천시 남면 가옹개길 108,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2015-08-04,5,I,20201125000000,,,N,
CAP300012,80 SS 오토캠핑장,"일반야영장,자동차야영장,글램핑",36.0300417,128.6304762,경북 군위군 부계면 남산리 1138-4번지,14,10,7,0,2,2,2,40,0,0,7,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2016-08-05,11,I,20201125000000,,,N,
CAP300013,A&J오토캠핑장,자동차야영장,37.3467235,127.8105836,강원도 원주시 지정면 안창리  산 56-3,0,0,0,0,0,0,0,0,0,0,0,전기,,2020-11-20,2015-05-18,12,I,20201125000000,,,N,
CAP300016,DMZ 마루캠핑,자동차야영장,38.1349255,127.019287,경기도 연천군 중면 군중로 399,30,0,0,0,1,1,1,20,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",,2020-11-20,2017-09-28,15,I,20201125000000,,,N,
CAP300017,DMZ캠핑장,자동차야영장,38.2201219,127.1806653,강원도 철원군 철원읍 독서당길 225-134  DMZ캠핑장,13,0,0,0,1,1,2,7,0,0,0,"전기,무선인터넷,장작판매",,2020-11-20,2016-06-09,16,I,20201125000000,,,N,
CAP300021,The Star 오토캠핑장,"일반야영장,자동차야영장,카라반",34.7181692,127.7818433,전남 여수시 돌산읍 상하동길 268,9,19,0,2,2,2,1,18,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2018-01-15,20,I,20201125000000,,,N,
CAP300022,VIP레저타운,자동차야영장,37.389235,127.7839463,강원도 원주시 지정면 지정로 1393,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2017-07-11,21,I,20201125000000,,,N,
CAP300023,VIP오토캠핑장,자동차야영장,35.4972561,128.9267335,경상남도 밀양시 단장면 고례리  1408-5,0,28,0,0,1,1,2,15,0,0,0,"전기,트램폴린",,2020-11-20,2015-05-26,22,I,20201125000000,,,N,
CAP300026,YELLOW HILL,자동차야영장,37.7609521,127.7449681,강원도 춘천시 동산면 종자리로 224-24,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2017-12-19,25,I,20201125000000,,,N,
CAP300027,㈜씨스테이 야영장,자동차야영장,37.2801027,126.4683211,인천광역시 옹진군 영흥면 내리  1212-52,13,0,0,0,2,2,2,8,0,0,0,"전기,무선인터넷,온수,물놀이장,운동시설",,2020-11-20,2016-02-26,26,I,20201125000000,,,N,
CAP300032,가리산자연휴양림 야영장,자동차야영장,37.865122,127.9839063,강원도 홍천군 두촌면 가리산길 426  가리산자연휴양림 야영장,38,0,0,0,1,1,1,20,0,0,0,"무선인터넷,놀이터,운동시설",어드벤처,2020-11-20,2015-07-07,31,I,20201125000000,,,N,
CAP300041,변산 오토캠핑장,"자동차야영장,카라반",35.6824139,126.5336697,전북 부안군 변산면 변산로 2054,0,30,0,5,0,0,0,0,0,0,0,"전기,무선인터넷,온수",,2020-11-20,2017-06-27,40,I,20201125000000,,,N,
CAP300042,가족쉼터,자동차야영장,37.7548248,127.2720936,경기도 남양주시 수동면 수산리  591-2,25,0,0,0,2,2,2,9,0,0,0,"전기,놀이터",,2020-11-20,2015-08-20,41,I,20201125000000,,,N,
CAP300044,가지산 자연캠핑장,"일반야영장,자동차야영장",35.6366866,129.0561062,울산광역시 울주군 삽재로 279-22 가지산자연  가지산 자연캠핑장,16,16,0,0,1,1,1,6,0,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2020-11-20,2016-07-21,43,I,20201125000000,,,N,
